,Employee,Day,TSlot,Assignment
340,Employee501792,15/11/2018,14:00:00,Downtown Platform
341,Employee501792,15/11/2018,14:15:00,Downtown Platform
342,Employee501792,15/11/2018,14:30:00,Downtown Platform
343,Employee501792,15/11/2018,14:45:00,Downtown Platform
344,Employee501792,15/11/2018,15:00:00,Downtown Platform
345,Employee501792,15/11/2018,15:15:00,Downtown Platform
346,Employee501792,15/11/2018,15:30:00,Downtown Platform
347,Employee501792,15/11/2018,15:45:00,Downtown Platform
348,Employee501792,15/11/2018,16:00:00,Downtown Platform
349,Employee501792,15/11/2018,16:15:00,Downtown Platform
350,Employee501792,15/11/2018,16:30:00,Downtown Platform
351,Employee501792,15/11/2018,16:45:00,Downtown Platform
352,Employee501792,16/11/2018,09:00:00,Downtown Platform
353,Employee501792,16/11/2018,09:15:00,Downtown Platform
354,Employee501792,16/11/2018,09:30:00,Downtown Platform
355,Employee501792,16/11/2018,09:45:00,Downtown Platform
356,Employee501792,16/11/2018,10:00:00,Downtown Platform
357,Employee501792,16/11/2018,10:15:00,Downtown Platform
358,Employee501792,16/11/2018,10:30:00,Downtown Platform
359,Employee501792,16/11/2018,10:45:00,Downtown Platform
360,Employee501792,16/11/2018,11:00:00,Downtown Platform
361,Employee501792,16/11/2018,11:15:00,Downtown Platform
362,Employee501792,16/11/2018,11:30:00,Downtown Platform
363,Employee501792,16/11/2018,11:45:00,Downtown Platform
364,Employee501792,16/11/2018,12:00:00,Downtown Platform
365,Employee501792,16/11/2018,12:15:00,Downtown Platform
366,Employee501792,16/11/2018,12:30:00,Downtown Platform
367,Employee501792,16/11/2018,12:45:00,Downtown Platform
368,Employee501792,16/11/2018,13:00:00,Downtown Platform
369,Employee501792,16/11/2018,13:15:00,Downtown Platform
370,Employee501792,16/11/2018,13:30:00,Downtown Platform
371,Employee501792,16/11/2018,13:45:00,Downtown Platform
372,Employee501792,16/11/2018,14:00:00,Downtown Platform
373,Employee501792,16/11/2018,14:15:00,Downtown Platform
374,Employee501792,16/11/2018,14:30:00,Downtown Platform
375,Employee501792,16/11/2018,14:45:00,Downtown Platform
376,Employee501792,16/11/2018,15:00:00,Downtown Platform
377,Employee501792,16/11/2018,15:15:00,Downtown Platform
378,Employee501792,16/11/2018,15:30:00,Downtown Platform
379,Employee501792,16/11/2018,15:45:00,Downtown Platform
380,Employee501792,16/11/2018,16:00:00,Downtown Platform
381,Employee501792,16/11/2018,16:15:00,Downtown Platform
382,Employee501792,16/11/2018,16:30:00,Downtown Platform
383,Employee501792,16/11/2018,16:45:00,Downtown Platform
384,Employee501587,15/11/2018,09:00:00,Downtown Lobby
385,Employee501587,15/11/2018,09:15:00,Downtown Lobby
386,Employee501587,15/11/2018,09:30:00,Downtown Lobby
387,Employee501587,15/11/2018,09:45:00,Downtown Lobby
388,Employee501587,15/11/2018,10:00:00,Downtown Lobby
389,Employee501587,15/11/2018,10:15:00,Downtown Platform
390,Employee501587,15/11/2018,10:30:00,Downtown Lobby
391,Employee501587,15/11/2018,10:45:00,Downtown Lobby
392,Employee501587,15/11/2018,11:00:00,Downtown Lobby
393,Employee501587,15/11/2018,11:15:00,Downtown Lobby
394,Employee501587,15/11/2018,11:30:00,Downtown Lobby
395,Employee501587,15/11/2018,11:45:00,Downtown Lobby
396,Employee501587,15/11/2018,12:00:00,Downtown Lobby
397,Employee501587,15/11/2018,12:15:00,Downtown Lobby
398,Employee501587,15/11/2018,12:30:00,Downtown Lobby
399,Employee501587,15/11/2018,12:45:00,Downtown Lobby
400,Employee501587,15/11/2018,13:00:00,Downtown Lobby
401,Employee501587,15/11/2018,13:15:00,Downtown Lobby
402,Employee501587,15/11/2018,13:30:00,Downtown Lobby
403,Employee501587,15/11/2018,13:45:00,Downtown Lobby
404,Employee501587,15/11/2018,14:00:00,Downtown Lobby
405,Employee501587,15/11/2018,14:15:00,Downtown Lobby
406,Employee501587,15/11/2018,14:30:00,Downtown Lobby
407,Employee501587,15/11/2018,14:45:00,Downtown Lobby
408,Employee501587,15/11/2018,15:00:00,Downtown Lobby
409,Employee501587,15/11/2018,15:15:00,Downtown Lobby
410,Employee501587,15/11/2018,15:30:00,Downtown Lobby
411,Employee501587,15/11/2018,15:45:00,Downtown Lobby
412,Employee501587,15/11/2018,16:00:00,Downtown Lobby
413,Employee501587,15/11/2018,16:15:00,Downtown Lobby
414,Employee501587,15/11/2018,16:30:00,Downtown Lobby
415,Employee501587,15/11/2018,16:45:00,Downtown Lobby
416,Employee501587,16/11/2018,09:00:00,Downtown Lobby
417,Employee501587,16/11/2018,09:15:00,Downtown Lobby
418,Employee501587,16/11/2018,09:30:00,Downtown Lobby
419,Employee501587,16/11/2018,09:45:00,Downtown Lobby
420,Employee501587,16/11/2018,10:00:00,Downtown Lobby
421,Employee501587,16/11/2018,10:15:00,Downtown Lobby
422,Employee501587,16/11/2018,10:30:00,Downtown Lobby
423,Employee501587,16/11/2018,10:45:00,Downtown Lobby
424,Employee501587,16/11/2018,11:00:00,Downtown Lobby
425,Employee501587,16/11/2018,11:15:00,Downtown Lobby
426,Employee501587,16/11/2018,11:30:00,Downtown Lobby
427,Employee501587,16/11/2018,11:45:00,Downtown Lobby
428,Employee501587,16/11/2018,12:00:00,Downtown Lobby
429,Employee501587,16/11/2018,12:15:00,Downtown Lobby
430,Employee501587,16/11/2018,12:30:00,Downtown Lobby
431,Employee501587,16/11/2018,12:45:00,Downtown Lobby
432,Employee501587,16/11/2018,13:00:00,Downtown Lobby
433,Employee501587,16/11/2018,13:15:00,Downtown Lobby
434,Employee501587,16/11/2018,13:30:00,Downtown Lobby
